question,correct_answers,incorrect_answers,question_type
Select the polarity of HF.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of HCl.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of HBr.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of HI.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of CO.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of CO<sub>2</sub>.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of CH<sub>3</sub>Cl.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of CH<sub>2</sub>Cl<sub>2</sub>.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of CCl<sub>4</sub>.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of H<sub>2</sub>O.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of BrO.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of SiH<sub>4</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of H<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of N<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of O<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of F<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of Cl<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of I<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of Br<sub>2</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of CH<sub>4</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of BrCl.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of ClF.,Polar,Non-polar;Need to know molecule's shape,multiple_choice
Select the polarity of BrI.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of BH<sub>3</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of NH<sub>3</sub>.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of C<sub>2</sub>H<sub>6</sub>.,Non-polar,Need to know molecule's shape;Polar,multiple_choice
Select the polarity of CH<sub>4</sub>O.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
Select the polarity of H<sub>2</sub>SO<sub>4</sub>.,Need to know molecule's shape,Non-polar;Polar,multiple_choice
